iter	Passed	Remaining
614	3556	2226
615	3561	2220
616	3566	2214
617	3572	2208
618	3577	2201
619	3582	2195
620	3588	2189
621	3593	2183
622	3598	2177
623	3603	2171
624	3609	2165
625	3614	2159
626	3619	2153
627	3624	2147
628	3631	2141
629	3637	2136
630	3643	2130
631	3649	2124
632	3654	2118
633	3660	2113
634	3665	2107
635	3670	2100
636	3676	2095
637	3681	2089
638	3687	2082
639	3692	2077
640	3698	2071
641	3703	2065
642	3709	2059
643	3714	2053
644	3719	2047
645	3725	2041
646	3731	2035
647	3737	2030
648	3744	2025
649	3749	2019
650	3756	2013
651	3762	2008
652	3767	2002
653	3773	1996
654	3778	1989
655	3783	1984
656	3788	1977
657	3794	1971
658	3799	1965
659	3804	1959
660	3810	1954
661	3815	1948
662	3820	1942
663	3826	1936
664	3832	1930
665	3837	1924
666	3842	1918
667	3848	1912
668	3853	1906
669	3858	1900
670	3864	1895
671	3870	1889
672	3875	1883
673	3880	1877
674	3886	1871
675	3891	1865
676	3896	1858
677	3901	1853
678	3906	1847
679	3912	1840
680	3917	1834
681	3922	1828
682	3927	1822
683	3932	1816
684	3938	1810
685	3943	1804
686	3948	1798
687	3954	1793
688	3960	1787
689	3966	1781
690	3971	1776
691	3977	1770
692	3982	1764
693	3987	1758
694	3992	1752
695	3997	1746
696	4003	1740
697	4008	1734
698	4013	1728
699	4018	1722
700	4024	1716
701	4029	1710
702	4034	1704
703	4039	1698
704	4045	1692
705	4050	1686
706	4058	1681
707	4063	1676
708	4069	1670
709	4074	1664
710	4079	1658
711	4085	1652
712	4090	1646
713	4095	1640
714	4100	1634
715	4105	1628
716	4111	1622
717	4116	1616
718	4121	1610
719	4126	1604
720	4131	1598
721	4136	1592
722	4142	1587
723	4147	1581
724	4152	1575
725	4157	1569
726	4163	1563
727	4168	1557
728	4173	1551
729	4178	1545
730	4184	1539
731	4189	1533
732	4194	1527
733	4199	1521
734	4204	1516
735	4209	1510
736	4215	1504
737	4220	1498
738	4225	1492
739	4230	1486
740	4236	1480
741	4241	1474
742	4247	1469
743	4252	1463
744	4257	1457
745	4263	1451
746	4268	1445
747	4275	1440
748	4281	1434
749	4286	1428
750	4291	1423
751	4297	1417
752	4302	1411
753	4307	1405
754	4312	1399
755	4317	1393
756	4322	1387
757	4328	1381
758	4334	1376
759	4339	1370
760	4345	1364
761	4350	1358
762	4355	1352
763	4360	1347
764	4365	1341
765	4371	1335
766	4376	1329
767	4381	1323
768	4386	1317
769	4391	1311
770	4397	1306
771	4402	1300
772	4407	1294
773	4413	1288
774	4418	1282
775	4423	1276
776	4428	1271
777	4434	1265
778	4439	1259
779	4445	1253
780	4450	1247
781	4455	1242
782	4460	1236
783	4466	1230
784	4471	1224
785	4476	1218
786	4481	1212
787	4486	1207
788	4492	1201
789	4497	1195
790	4502	1189
791	4508	1184
792	4514	1178
793	4521	1172
794	4526	1167
795	4532	1161
796	4537	1155
797	4542	1149
798	4547	1144
799	4553	1138
800	4558	1132
801	4563	1126
802	4568	1120
803	4574	1115
804	4579	1109
805	4584	1103
806	4590	1097
807	4595	1091
808	4600	1086
809	4605	1080
810	4610	1074
811	4615	1068
812	4620	1062
813	4626	1057
814	4631	1051
815	4636	1045
816	4642	1039
817	4647	1034
818	4652	1028
819	4658	1022
820	4663	1016
821	4668	1010
822	4673	1005
823	4678	999
824	4683	993
825	4688	987
826	4694	981
827	4699	976
828	4704	970
829	4709	964
830	4714	958
831	4719	952
832	4724	947
833	4731	941
834	4738	936
835	4743	930
836	4748	924
837	4753	919
838	4760	913
839	4765	907
840	4770	901
841	4775	896
842	4781	890
843	4786	884
844	4791	878
845	4796	873
846	4801	867
847	4806	861
848	4811	855
849	4816	850
850	4822	844
851	4827	838
852	4832	832
853	4837	826
854	4842	821
855	4848	815
856	4854	810
857	4859	804
858	4864	798
